"351370", "35034", "Coração do DRS III"
"351380", "35015", "Grande ABC"
"351385", "35153", "Jales"
"351390", "35143", "Rio Pardo"
"351400", "35033", "Norte do DRS III"
"351410", "35064", "Jaú"
"351420", "35153", "Jales"
"351430", "35034", "Coração do DRS III"
"351440", "35111", "Alta Paulista"
"351450", "35062", "Bauru"
"351460", "35131", "Horizonte Verde"
"351470", "35093", "Marília"
"351480", "35121", "Vale do Ribeira"
"351490", "35103", "Piracicaba"
"351492", "35151", "Catanduva"
"351495", "35151", "Catanduva"
"351500", "35013", "Mananciais"
"351510", "35013", "Mananciais"
"351512", "35112", "Alta Sorocabana"
"351515", "35102", "Limeira"
"351518", "35142", "Mantiqueira"
"351519", "35094", "Ourinhos"
"351520", "35154", "Fernandópolis"
"351530", "35112", "Alta Sorocabana"
"351535", "35115", "Pontal do Paranapanema"
"351540", "35061", "Vale do Jurumirim"
"351550", "35154", "Fernandópolis"
"351560", "35151", "Catanduva"
"351565", "35093", "Marília"
"351570", "35011", "Alto do Tietê"
"351580", "35111", "Alta Paulista"
"351590", "35157", "Votuporanga"
"351600", "35091", "Adamantina"
"351610", "35092", "Assis"
"351620", "35081", "Três Colinas"
"351630", "35012", "Franco da Rocha"
"351640", "35012", "Franco da Rocha"
"351650", "35023", "Consórcios do DRS II"
"351660", "35093", "Marília"
"351670", "35093", "Marília"
"351680", "35157", "Votuporanga"
"351685", "35031", "Central do DRS III"
"351690", "35157", "Votuporanga"
"351700", "35065", "Lins"
"351710", "35023", "Consórcios do DRS II"
"351720", "35065", "Lins"
"351730", "35093", "Marília"
"351740", "35051", "Norte - Barretos"
"351750", "35155", "São José do Rio Preto"
"351760", "35162", "Itapeva"
"351770", "35083", "Alta Mogiana"
"351780", "35022", "Lagos do DRS II"
"351790", "35051", "Norte - Barretos"
"351800", "35154", "Fernandópolis"
"351810", "35093", "Marília"
"351820", "35021", "Central do DRS II"
"351830", "35011", "Alto do Tietê"
"351840", "35172", "Circ. da Fé/V.Histórico"
"351850", "35161", "Itapetininga"
"351860", "35131", "Horizonte Verde"
"351870", "35041", "Baixada Santista"
"351880", "35011", "Alto do Tietê"
"351885", "35132", "Aquífero Guarani"
"351890", "35021", "Central do DRS II"
"351900", "35095", "Tupã"
"351905", "35072", "Reg Metro Campinas"
"351907", "35072", "Reg Metro Campinas"
"351910", "35062", "Bauru"
"351920", "35095", "Tupã"
"351925", "35061", "Vale do Jurumirim"
"351930", "35034", "Coração do DRS III"
"351940", "35155", "São José do Rio Preto"
"351950", "35094", "Ourinhos"
"351960", "35032", "Centro Oeste do DRS III"
"351970", "35163", "Sorocaba"
"351980", "35155", "São José do Rio Preto"
"351990", "35113", "Alto Capivari"
"352000", "35064", "Jaú"
"352010", "35083", "Alta Mogiana"
"352020", "35171", "Alto Vale do Paraíba"
"352030", "35121", "Vale do Ribeira"
"352042", "35121", "Vale do Ribeira"
"352044", "35022", "Lagos do DRS II"
"352050", "35072", "Reg Metro Campinas"
"352060", "35112", "Alta Sorocabana"
"352070", "35154", "Fernandópolis"
"352080", "35091", "Adamantina"
"352090", "35094", "Ourinhos"
"352100", "35163", "Sorocaba"
"352110", "35104", "Rio Claro"
"352115", "35155", "São José do Rio Preto"
"352120", "35121", "Vale do Ribeira"
"352130", "35082", "Alta Anhanguera"
"352140", "35102", "Limeira"
"352150", "35151", "Catanduva"
"352160", "35111", "Alta Paulista"
"352170", "35162", "Itapeva"
"352180", "35061", "Vale do Jurumirim"
"352190", "35151", "Catanduva"
"352200", "35064", "Jaú"
"352210", "35041", "Baixada Santista"
"352215", "35162", "Itapeva"
"352220", "35013", "Mananciais"
"352230", "35161", "Itapetininga"
"352240", "35162", "Itapeva"
"352250", "35014", "Rota dos Bandeirantes"
"352260", "35141", "Baixa Mogiana"
"352265", "35162", "Itapeva"
"352270", "35032", "Centro Oeste do DRS III"
"352280", "35061", "Vale do Jurumirim"
"352290", "35064", "Jaú"
"352300", "35022", "Lagos do DRS II"
"352310", "35011", "Alto do Tietê"
"352320", "35162", "Itapeva"
"352330", "35121", "Vale do Ribeira"
"352340", "35072", "Reg Metro Campinas"
"352350", "35063", "Polo Cuesta"
"352360", "35104", "Rio Claro"
"352370", "35081", "Três Colinas"
"352380", "35143", "Rio Pardo"
"352390", "35163", "Sorocaba"
"352400", "35073", "Jundiaí"
"352410", "35083", "Alta Mogiana"
"352420", "35051", "Norte - Barretos"
"352430", "35131", "Horizonte Verde"
"352440", "35171", "Alto Vale do Paraíba"
"352450", "35156", "José Bonifácio"
"352460", "35121", "Vale do Ribeira"
"352470", "35072", "Reg Metro Campinas"
"352480", "35153", "Jales"
"352490", "35171", "Alto Vale do Paraíba"
"352500", "35014", "Rota dos Bandeirantes"
"352510", "35132", "Aquífero Guarani"
"352520", "35073", "Jundiaí"
"352530", "35064", "Jaú"
"352540", "35081", "Três Colinas"
"352550", "35071", "Bragança"
"352560", "35113", "Alto Capivari"
"352570", "35156", "José Bonifácio"
"352580", "35093", "Marília"
"352585", "35163", "Sorocaba"
"352590", "35073", "Jundiaí"
"352600", "35111", "Alta Paulista"
"352610", "35121", "Vale do Ribeira"
"352620", "35013", "Mananciais"
"352630", "35174", "V. Paraíba-Reg. Serrana"
"352640", "35063", "Polo Cuesta"
"352650", "35022", "Lagos do DRS II"
"352660", "35172", "Circ. da Fé/V.Histórico"
"352670", "35101", "Araras"
"352680", "35062", "Bauru"
"352690", "35102", "Limeira"
"352700", "35074", "Circuito das Águas"
"352710", "35065", "Lins"
"352720", "35172", "Circ. da Fé/V.Histórico"
"352725", "35023", "Consórcios do DRS II"
"352730", "35073", "Jundiaí"
"352740", "35091", "Adamantina"
"352750", "35062", "Bauru"
"352760", "35132", "Aquífero Guarani"
"352770", "35023", "Consórcios do DRS II"
"352780", "35093", "Marília"
"352790", "35092", "Assis"
"352800", "35062", "Bauru"
"352810", "35157", "Votuporanga"
"352820", "35154", "Fernandópolis"
"352830", "35157", "Votuporanga"
"352840", "35163", "Sorocaba"
"352850", "35012", "Franco da Rocha"
"352860", "35061", "Vale do Jurumirim"
"352870", "35114", "Extremo Oeste Paulista"
"352880", "35092", "Assis"
"352885", "35151", "Catanduva"
"352890", "35091", "Adamantina"
"352900", "35093", "Marília"
"352910", "35153", "Jales"
